Id;Designator;Package;Quantity;Designation;Supplier and ref
1;C2;C_Radial_D5_L6_P2.5;1;1uF;
2;D1,D2;Diode_DO-35_SOD27_Horizontal_RM10;2;1N4001;
3;D3;LED-3MM;1;LED;
4;L1;CST306-3A;1;INDUCTOR;
5;P1,P2;Pin_Header_Straight_1x01;2;Selector;
6;P3;Pin_Header_Straight_1x08;1;Selector 0-7;
7;P4;Pin_Header_Straight_2x05;1;BUS;
8;R1;Resistor_Horizontal_RM10mm;1;4.3k;
9;R2;Resistor_Horizontal_RM10mm;1;5.1k;
10;R3;Resistor_Horizontal_RM10mm;1;750;
11;R4;Resistor_Horizontal_RM10mm;1;750k;
12;R5,R9,R6;Resistor_Horizontal_RM10mm;3;10k;
14;R7,R8,R10;Resistor_Horizontal_RM10mm;3;4.7k;
15;R11;Resistor_Horizontal_RM10mm;1;1k;
16;U1;DIP-14_W7.62mm;1;LM339;
17;C1;C_Rect_L7_W2_P5;1;100nF;
